"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 20 13:43:28 GMT 2025","Thu Feb 20 13:43:28 GMT 2025","61","","Specializations Position","","api.specialization.SpecializationPositionTests","deleteWithoutAuthenticationTest","[API] [Specializations & Positions] 3082 - 401 СК при недействительном или непредоставленном токене DELETE /api/v1/positions/{positionId}/specialization/{specializationId}",""
"passed","Thu Feb 20 13:42:18 GMT 2025","Thu Feb 20 13:42:23 GMT 2025","5332","","Data Controller","","api.dataController.DownloadDataTests","downloadFileFromBDInCSVFormat","[Data-controller] 2795, 2796 - Выгрузка файла БД POST /api/v1/data/download 1 => format=CSV, extension=.csv, message=csv",""
"passed","Thu Feb 20 13:43:04 GMT 2025","Thu Feb 20 13:43:04 GMT 2025","113","","Skill Acquirement","","api.skill.SkillAcquirementTests","changingSkillGradeByTeamLeadWithInvalidGradeId","[Skill acquirements] 2775 - 400 СК при отправке запроса с невалидным gradeId PUT /api/v1/skills/grade/suggest/teamleader",""
"passed","Thu Feb 20 13:43:18 GMT 2025","Thu Feb 20 13:43:18 GMT 2025","173","","Skill","","api.skill.SkillTests","restoreNotTerminalSkill","[Skill] 2619 - Восстановление удаленного нетерминального навыка PUT /api/v1/skills/{skillId}/restore",""
"passed","Thu Feb 20 13:42:57 GMT 2025","Thu Feb 20 13:42:57 GMT 2025","83","","Permissions","","api.permissions.PermissionsTests","createNewPermission","[Permissions] 2419 - Создание нового пермишена POST /api/v1/permissions",""
"passed","Thu Feb 20 13:42:42 GMT 2025","Thu Feb 20 13:42:42 GMT 2025","95","","Experts","","api.experts.ExpertsTests","getExpertsBySupervisorIdIfUserDoesNotHaveEnoughTruths","[API] [Experts] 3587 - 403 при отсутствии доступа GET api/v1/experts/{supervisorId}",""
"passed","Thu Feb 20 13:42:16 GMT 2025","Thu Feb 20 13:42:16 GMT 2025","98","","Audit","","api.audit.AuditTests","getAllRevisionsBySpecializationsWithoutAuthorization","[Audit] 3489 - 401 СК при запросе GET /api/v1/history/specializations",""
"failed","Thu Feb 20 13:44:29 GMT 2025","Thu Feb 20 13:44:30 GMT 2025","205","","Skill","","api.skill.SkillTests","cannotViewTreeViewWithIsAdminFalseFlagTest","[API] [Skill] 3004 - 400 СК POST /api/v1/admin/tree/skills, если isAdmin=false",""
"passed","Thu Feb 20 13:43:39 GMT 2025","Thu Feb 20 13:43:39 GMT 2025","70","","Supervisor","","api.supervisor.SupervisorTests","getApplicationsForSupervisorForbidden","[API][Supervisor] 3342 - 403СК, при отсутствии доступа GET/api/v1/supervisors/{supervisorId}/applications",""
"passed","Thu Feb 20 13:42:54 GMT 2025","Thu Feb 20 13:42:54 GMT 2025","200","","Experts","","api.experts.ExpertsTests","getExpertApplications","[Experts] 2526 - Получить запросы повышения уровня навыка, связанного с экспертом GET /api/v1/expert/applications",""
"passed","Thu Feb 20 13:42:59 GMT 2025","Thu Feb 20 13:42:59 GMT 2025","171","","Role","","api.role.RoleTests","createNewRole","[Role] 2383 - Проверка создания новой роли POST /api/v1/roles",""
"passed","Thu Feb 20 13:42:54 GMT 2025","Thu Feb 20 13:42:54 GMT 2025","63","","Location","","api.locations.LocationsTests","getLocationsInTheAbsenceOfAccess","[API] [Location] 3359 - 403 СК при отсутствии доступа GET /api/v1/locations",""
"passed","Thu Feb 20 13:43:05 GMT 2025","Thu Feb 20 13:43:05 GMT 2025","71","","Skill Acquirement","","api.skill.SkillAcquirementTests","deleteSkillFormSkillAcquirementWithoutAuthorization","[SkillAcquirement] 2816 - 401 СК при отсутствии авторизации DELETE /api/v1/skills/{userId}/{skillId}",""
"passed","Thu Feb 20 13:43:31 GMT 2025","Thu Feb 20 13:43:31 GMT 2025","61","","Specializations","","api.specialization.SpecializationTests","verify401ForSpecializationsRequirementsWithoutToken","[Specialization] 2415 - СК 401 при GET запросе без токена для /api/v1/specializations/{specializationId}/skill-specialization-requirements",""
"passed","Thu Feb 20 13:43:47 GMT 2025","Thu Feb 20 13:43:47 GMT 2025","381","","User","","api.user.UserTests","getUsersByFirstLastNameFromReportal","[User] 2464 - Ответ от GET /api/v1/users/search соответствует json-схеме.",""
"passed","Thu Feb 20 13:43:45 GMT 2025","Thu Feb 20 13:43:45 GMT 2025","64","","User","","api.user.UserTests","getUserForEditWithoutPermission","[User] 403 ошибка при отправке запроса POST /api/v1/users",""
"passed","Thu Feb 20 13:43:46 GMT 2025","Thu Feb 20 13:43:46 GMT 2025","59","","User","","api.user.UserTests","addsRemovesUserPermissionsWithoutPermission","[User] 403 ошибка при отправке запроса PUT /api/v1/users/{userId}/permissions",""
"passed","Thu Feb 20 13:43:04 GMT 2025","Thu Feb 20 13:43:05 GMT 2025","77","","Skill Acquirement","","api.skill.SkillAcquirementTests","suggestSkillGradeToReviewUnauthorized","[API][SkillAcquirement] 3407 - 401 СК при отправке запроса без авторизации PUT /api/v1/skills/grade/suggest",""
"failed","Thu Feb 20 13:44:36 GMT 2025","Thu Feb 20 13:44:36 GMT 2025","155","","Position","","api.specialization.PositionTests","specializationIdIsNotFoundWhenGetRequest","[API][Position] 3176 - 404 СК при отапрвке запроса с несуществующей specialisationId GET/api/v1/positions",""
